Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BW2	IJ2	JH2	LC2	MT2	RM2	SM2	TD2																		
178	HL	19.0	16.48178	0.571495203	b	0.267063119	31.602	21.701	0	0	0	0	0	0	0	0																		
179	HL	15.7	15.76307	0.549912543	b	0.16781219	31.801	27.305	0	0	0	0	0	0	0	0																		
180	HL	15.5	15.71477	0.548123663	b	0.162532331	32.039	29.491	0	0	0	0	0	0	0	0																		
181	HL	21.3	16.91227	0.580727901	a	0.349964193	33.994	29.728	1	1	1	0	0	0	1	0																		
182	HL	26.9	17.79163	0.593499049	b	0.600109004	33.671	24.981	0	0	0	1	0	1	0	0																		
183	HL	27.5	17.87473	0.594374053	b	0.63103678	33.642	19.988	1	1	1	0	0	0	0	1																		
184	HL	23.7	17.31449	0.58744438	a	0.448707299	33.616	15.123	0	0	0	0	1	0	0	0																		
185	HL	20.4	16.74962	0.577512593	c	0.316167157	33.777	13.635	0	0	0	0	0	0	0	0																		
186	HL	11.3	14.52416	0.485051093	b	0.07065213	33.693	10.385	0	0	0	0	0	0	0	0																		
187	HL	20.9	16.84085	0.579354334	b	0.334726922	33.449	8.692	0	0	0	0	1	0	0	0																		
188	HL	22.3	17.08511	0.583817367	a	0.389577962	33.002	3.019	0	1	0	0	0	0	0	1																		
189	HL	24.5	17.43956	0.589214288	b	0.484429825	35.198	7.303	0	0	1	0	0	1	1	0																		
190	HL	17.8	16.23600	0.565084878	a	0.228308842	35.276	10.228	0	0	0	0	0	0	0	0																		
191	HL	26.3	17.70665	0.592552887	a	0.569986839	35.357	13.291	1	0	1	1	0	0	0	1																		
192	HL	17.0	16.06276	0.559992047	b	0.204169036	35.807	26.428	0	0	0	0	0	0	0	0																		
193	HL	16.0	15.83437	0.552466857	c	0.175888304	35.451	28.103	0	0	0	0	0	0	0	0																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
