Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
125	HL	6.9	8.74413	0.271765124	c	0.008885838	20.400	9.337	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
126	HL	17.7	12.25720	0.558635014	a	0.168482866	20.200	10.890	0	1	0	0	0	1	0	1	1	1	0	1	1	1												
127	HL	15.2	11.68935	0.539898699	a	0.114519616	21.100	15.039	0	0	1	1	0	0	0	1	0	1	0	0	0	0												
128	HL	8.8	9.65118	0.399580485	b	0.023455252	20.200	18.651	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
129	HL	16.7	12.04032	0.55215784	b	0.145621056	20.300	18.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
130	HL	19.5	12.61837	0.56782749	b	0.213982749	20.500	20.936	0	1	1	1	0	0	1	1	1	1	0	0	0	0												
131	HL	16.3	11.94991	0.549220766	b	0.136954649	20.300	24.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
132	HL	6.1	8.28457	0.181531183	c	0.00439512	19.600	24.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
133	HL	10.3	10.23813	0.45602631	a	0.038902267	20.300	26.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
134	HL	8.6	9.56545	0.389831925	b	0.021660559	20.600	26.247	0	0	0	0	0	0	0	1	0	0	0	0	0	0												
135	HL	15.5	11.76224	0.542640652	a	0.120435817	21.000	28.668	0	1	0	1	0	1	1	0	0	1	0	0	0	0												
136	HL	8.8	9.65118	0.399580485	c	0.023455252	23.800	27.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
137	HL	22.8	13.20142	0.579195444	b	0.312180096	24.200	27.730	1	0	0	0	0	0	0	0	1	0	0	0	0	0												
138	HL	6.7	8.63444	0.252033442	c	0.00767241	22.700	26.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
139	HL	8.2	9.38784	0.368241659	a	0.018256438	21.700	25.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
140	HL	7.6	9.10447	0.329549761	b	0.013611085	22.100	23.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
141	HL	19.2	12.56055	0.566478568	b	0.20600821	23.600	23.064	0	1	0	0	1	1	0	0	1	0	1	0	0	1												
142	HL	7.7	9.15322	0.33660253	b	0.014347048	22.800	20.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
143	HL	17.3	12.17195	0.556181348	b	0.159132481	22.600	19.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
144	HL	15.5	11.76224	0.542640652	b	0.120435817	22.600	17.060	0	1	0	1	1	0	0	0	0	0	0	1	0	0												
145	HL	14.9	11.61502	0.536988503	a	0.108754498	22.500	14.619	0	0	0	0	0	1	1	0	1	0	0	0	0	0												
146	HL	8.7	9.60856	0.394787074	a	0.022550169	22.300	13.740	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
147	HL	6.9	8.74413	0.271765124	c	0.008885838	23.700	9.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
148	HL	10.4	10.27416	0.458969173	a	0.040057745	23.200	9.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
149	HL	18.8	12.48204	0.564574807	b	0.19561971	22.600	6.838	0	0	0	0	1	0	0	0	0	1	0	0	0	0												
150	HL	8.2	9.38784	0.368241659	b	0.018256438	22.200	5.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
151	HL	9.6	9.97567	0.432863011	b	0.031255379	22.500	5.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
152	HL	16.0	11.88064	0.546869852	b	0.130633206	22.500	3.987	0	0	0	1	0	1	1	1	1	0	0	0	1	1												
