Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
145	SS	24.5	21.41132	0.499782259	a	0.504482723	5.203	23.805	0	0	0	0	0	0	0	0	0	0	0	0	0														
146	SS	24.0	21.26740	0.500986439	b	0.482006275	35.189	2.420	0	0	0	0	0	0	0	0	0	0	0	0	0														
147	SS	24.5	21.41132	0.499782259	a	0.504482723	33.348	4.245	0	0	0	0	0	0	0	0	0	0	0	0	0														
148	SS	24.7	21.46807	0.499291412	b	0.513606847	35.646	4.448	0	0	0	0	0	0	0	0	0	0	0	0	0														
149	SS	24.0	21.26740	0.500986439	c	0.482006275	9.750	6.177	1	0	0	1	0	1	1	0	1	0	0	0	0														
150	SS	24.5	21.41132	0.499782259	a	0.504482723	20.518	15.489	0	0	0	0	0	0	0	0	0	0	0	0	0														
151	SS	24.8	21.49627	0.499044169	b	0.51819747	39.943	11.326	0	0	0	0	0	0	0	0	0	0	0	0	0														
152	SS	23.0	20.97034	0.503279114	b	0.43849016	24.855	6.322	0	0	0	0	0	0	0	0	0	0	0	0	0														
153	SS	24.8	21.49627	0.499044169	b	0.51819747	35.697	24.278	0	0	0	0	0	0	0	0	0	0	0	0	0														
154	SS	24.7	21.46807	0.499291412	a	0.513606847	28.001	18.154	0	0	0	0	0	0	0	0	0	0	0	0	0														
155	SS	24.7	21.46807	0.499291412	a	0.513606847	38.681	2.574	0	0	0	0	0	0	0	0	0	1	0	0	0														
156	SS	25.3	21.63559	0.497791117	c	0.541435642	9.552	26.065	0	0	0	0	0	0	0	0	0	0	0	0	0														
157	SS	26.1	21.85288	0.495735392	a	0.579601563	11.916	12.900	0	0	0	0	0	0	0	0	0	0	0	0	0														
158	SS	25.4	21.66313	0.497537365	b	0.54614019	6.491	14.716	0	0	0	0	0	0	0	0	0	0	0	0	0														
159	SS	25.5	21.69055	0.497282638	c	0.550863678	29.262	18.164	0	0	0	0	1	1	1	0	0	1	0	0	0														
160	SS	25.6	21.71787	0.497026965	b	0.555606092	20.825	22.820	0	0	0	0	0	0	0	0	0	0	0	0	0														
161	SS	26.1	21.85288	0.495735392	b	0.579601563	32.708	14.078	0	0	0	0	0	0	0	0	0	0	0	1	0														
162	SS	25.8	21.77219	0.496512895	a	0.565147641	33.786	9.258	0	0	0	0	0	0	0	0	0	0	0	0	0														
163	SS	25.3	21.63559	0.497791117	c	0.541435642	12.471	16.068	1	1	1	0	0	0	0	1	1	1	1	1	1														
164	SS	26.5	21.95904	0.494687867	c	0.599137203	28.233	22.134	0	0	0	0	0	1	1	0	1	0	0	0	0														
165	SS	27.0	22.08951	0.493363169	a	0.623979399	22.872	21.525	0	0	0	0	0	0	0	0	0	0	0	0	0														
166	SS	27.0	22.08951	0.493363169	b	0.623979399	17.709	23.969	0	0	0	0	0	0	0	0	0	0	0	0	0														
167	SS	26.9	22.06361	0.493629348	a	0.618973464	22.138	18.956	0	0	0	0	0	0	0	0	0	0	0	1	0														
168	SS	27.7	22.26817	0.491484871	a	0.659544382	40.891	14.957	0	0	0	0	0	0	0	0	0	1	0	0	0														
169	SS	27.0	22.08951	0.493363169	b	0.623979399	9.003	19.091	0	0	0	0	0	0	0	0	0	0	0	0	0														
170	SS	28.9	22.56418	0.488217357	a	0.722633845	27.729	14.725	0	0	0	0	0	0	0	0	0	0	0	0	0														
