Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB2	BC2	CB2	CN2	JH2	KB2	MMP2	PS2	PW2	SC2	ST2															
143	SP	11.4	9.17156	0.546095974	b	0.051122452	22.094	18.750	0	0	0	0	0	0	0	0	0	0	0															
144	SP	13.1	9.61898	0.536645968	c	0.069574394	21.813	15.110	0	0	0	0	0	0	0	0	0	0	0															
145	SP	11.8	9.28257	0.54368846	a	0.05519148	21.890	9.540	0	1	0	0	1	0	0	0	0	0	1															
146	SP	15.6	10.18119	0.525662549	b	0.102292707	21.848	7.630	0	0	1	0	0	0	1	0	0	0	0															
147	SP	8.4	8.18857	0.569557644	a	0.025846036	22.312	6.000	0	0	0	0	0	0	0	0	0	0	0															
148	SP	12	9.33667	0.542530581	b	0.057288628	25.760	3.780	0	1	0	0	0	0	0	1	0	0	0															
149	SP	15.3	10.11869	0.526837809	a	0.098010764	25.660	2.120	0	0	0	0	0	0	0	0	0	0	0															
150	SP	15	10.05494	0.528047841	a	0.093826448	26.460	3.310	0	0	0	0	0	0	0	0	0	0	0															
151	SP	11.2	9.11458	0.547348515	a	0.049150367	25.960	5.770	0	0	0	0	0	0	0	0	0	0	0															
152	SP	8.4	8.18857	0.569557644	a	0.025846036	26.160	6.000	0	0	0	0	0	0	0	0	0	0	0															
153	SP	12.9	9.56946	0.537659552	b	0.067245628	24.160	8.940	0	0	0	0	0	0	0	0	0	0	0															
154	SP	9.2	8.48139	0.56211901	b	0.031692832	24.860	14.270	0	0	0	0	0	0	0	0	0	0	0															
155	SP	19.5	10.89947	0.512923551	c	0.166961758	23.860	16.890	0	0	0	0	0	0	0	0	0	0	0															
156	SP	13.6	9.73955	0.53421037	c	0.07558212	25.360	25.200	0	0	0	0	0	0	0	0	0	0	0															
157	SP	15.8	10.22220	0.524897541	c	0.105201709	25.460	28.770	0	0	0	0	0	0	0	0	0	0	0															
158	SP	11.1	9.08572	0.547987669	c	0.048179886	25.360	28.910	0	0	0	0	0	0	0	0	0	0	0															
159	SP	13.2	9.64346	0.536147827	a	0.070754681	25.360	30.660	1	0	0	1	1	0	0	0	1	1	1															
160	SP	12.3	9.41615	0.540847386	b	0.060512928	25.560	32.350	0	0	0	0	0	0	0	0	0	0	0															
161	SP	15	10.05494	0.528047841	a	0.093826448	27.386	32.300	0	1	0	0	0	1	0	0	0	0	0															
162	SP	15.2	10.09758	0.527237204	a	0.096605158	27.344	30.170	0	0	0	0	0	0	0	0	0	0	0															
163	SP	14	9.83286	0.532356223	b	0.080580177	27.029	24.310	0	0	0	0	0	0	0	0	0	0	0															
164	SP	15.9	10.24250	0.524520411	c	0.106672553	27.088	22.220	0	0	0	1	0	0	0	0	0	0	0															
165	SP	15.5	10.16049	0.526050543	c	0.100854528	27.053	20.460	0	0	0	0	0	0	0	0	0	0	0															
166	SP	14.7	9.98991	0.529294419	a	0.089739478	27.416	18.550	0	0	1	0	0	0	0	0	0	0	0															
167	SP	14.8	10.01174	0.528874718	a	0.091091003	27.276	16.560	0	0	0	1	0	0	0	0	0	0	1															
168	SP	18.3	10.69502	0.516409973	b	0.145267492	27.132	14.320	0	1	1	0	0	0	0	1	0	0	0															
169	SP	14.3	9.90111	0.531016692	a	0.084441121	27.297	12.520	1	0	0	0	1	0	1	0	1	1	1															
170	SP	12.4	9.44221	0.540300012	b	0.061608698	26.836	9.450	0	0	0	0	0	0	0	0	0	0	0															
171	SP	13	9.59432	0.537149839	c	0.068404714	27.132	9.230	0	0	0	0	0	0	0	0	0	0	0															
172	SP	18.5	10.73001	0.515805641	c	0.148771466	27.098	7.500	0	0	0	0	0	0	0	0	0	0	0															
173	SP	11.5	9.19967	0.545482184	a	0.052124082	27.155	5.310	0	0	0	0	0	0	0	0	0	0	0															
174	SP	16.9	10.43884	0.520933444	a	0.121982566	27.116	3.340	0	1	0	0	0	0	0	0	0	0	0															
175	HL	15.1	13.60000	0.541970643	a	0.131995294	29.413	1.930	0	0	0	0	1	0	0	0	0	0	0															
176	SP	11.9	9.30973	0.54310584	c	0.056234824	29.989	5.280	0	0	0	0	0	0	0	0	0	0	0															
177	SP	7.2	7.69237	0.583298073	b	0.018268612	29.293	5.450	0	0	0	0	0	0	0	0	0	0	0															
178	SP	11.2	9.11458	0.547348515	b	0.049150367	29.177	9.170	0	0	0	0	0	0	0	0	0	0	0															
179	SP	14	9.83286	0.532356223	b	0.080580177	29.580	9.320	0	0	0	0	0	1	0	0	0	0	0															
180	HL	8.5	10.00000	0.384117099	c	0.021796731	29.667	13.110	0	0	0	0	0	0	0	0	0	0	0															
181	SP	11.2	9.11458	0.547348515	a	0.049150367	29.695	14.370	0	0	1	0	0	0	0	0	0	0	0															
182	HL	7.4	9.70000	0.312324147	a	0.013029586	29.743	16.480	0	0	0	0	0	0	0	0	0	0	0															
183	SP	19	10.81585	0.514336404	a	0.15772669	29.788	18.440	0	0	0	0	1	0	0	0	1	0	0															
184	SP	15.9	10.24250	0.524520411	b	0.106672553	29.872	22.130	0	1	0	1	0	0	0	0	0	1	1															
185	SP	11.6	9.22754	0.544876457	b	0.053136122	29.257	25.900	0	0	0	0	0	0	0	0	0	0	0															
186	HL	9.5	9.30000	0.429218094	a	0.028294242	29.647	29.850	1	0	0	0	0	0	1	0	0	0	0															
187	SP	13	9.59432	0.537149839	a	0.068404714	29.702	32.260	0	0	1	0	0	1	0	0	0	0	0															
188	SP	14.4	9.92354	0.530579452	c	0.085749571	31.536	33.040	0	0	0	0	0	0	0	0	0	0	0															
189	SP	12.6	9.49372	0.539224946	b	0.063831818	31.367	30.830	0	0	0	0	0	0	0	0	0	0	0															
190	SP	9.7	8.65175	0.557981101	a	0.035674394	31.402	28.710	0	0	0	0	0	0	0	0	0	0	0															
191	SP	15.2	10.09758	0.527237204	b	0.096605158	30.843	26.800	0	0	0	0	0	1	1	1	1	0	1															
192	HL	17.4	13.25000	0.558705036	c	0.176030062	31.168	24.370	0	0	0	0	0	0	0	0	0	0	0															
193	SP	11.9	9.30973	0.54310584	a	0.056234824	30.943	20.320	1	0	0	0	0	0	0	0	0	0	0															
194	SP	12.6	9.49372	0.539224946	b	0.063831818	31.015	16.190	0	0	0	0	0	0	0	0	0	1	0															
195	SP	13.2	9.64346	0.536147827	c	0.070754681	30.950	14.080	0	0	0	0	0	0	0	0	0	0	0															
196	SP	7.6	7.86641	0.578293683	c	0.020636778	31.042	13.830	0	0	0	0	0	0	0	0	0	0	0															
197	SP	9.2	8.48139	0.56211901	c	0.031692832	30.879	11.780	0	0	0	0	0	0	0	0	0	0	0															
198	SP	11.4	9.17156	0.546095974	a	0.051122452	30.911	9.580	1	0	0	0	0	0	0	0	0	0	0															
199	SP	14	9.83286	0.532356223	a	0.080580177	30.845	7.440	0	1	0	0	1	0	0	0	1	0	1															
200	SP	15.8	10.22220	0.524897541	b	0.105201709	30.816	3.290	0	0	0	0	0	0	0	0	0	0	0															
201	SP	15.2	10.09758	0.527237204	a	0.096605158	30.752	1.210	1	0	0	1	0	1	1	1	1	1	1															
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
