Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL2	BA2	CT2	GL2	JE2	JH2	KM2	KS2	RZ2	SM2
127	SS	13.1	15.63160	0.48972	c	0.10318	13.870	27.620	0	0	0	0	0	0	0	0	0	0
128	SS	14.4	16.22160	0.49739	b	0.13140	13.870	30.240	0	0	0	0	0	0	1	0	0	0
129	SS	13.2	15.67902	0.49047	c	0.10524	13.270	32.130	0	0	0	0	0	0	1	0	0	0
130	SS	9.8	13.82178	0.43900	c	0.04577	13.070	32.000	0	0	0	0	0	0	1	0	0	0
131	SS	13.1	15.63160	0.48972	c	0.10318	13.070	32.200	0	0	0	0	0	0	0	0	0	0
132	SS	26.2	19.95392	0.48910	a	0.52616	12.970	34.650	1	0	1	0	0	0	0	0	0	0
133	SS	25.8	19.85799	0.49012	a	0.50883	12.970	37.520	0	1	0	1	1	0	1	0	0	0
134	SS	10.9	14.48515	0.46320	c	0.06261	13.270	37.300	0	1	0	1	1	1	1	0	0	0
135	SS	11.6	14.87328	0.47413	b	0.07453	12.040	37.520	0	0	0	0	0	0	1	0	0	0
136	SS	18.2	17.68198	0.50359	a	0.23165	12.040	30.410	0	0	0	0	0	0	0	1	0	0
137	SS	23.3	19.22243	0.49612	b	0.40662	12.340	21.550	1	1	1	1	1	0	1	1	1	0
138	SS	18.5	17.78393	0.50347	b	0.24068	12.740	19.720	0	0	0	0	0	0	1	0	0	0
139	SS	27.1	20.16453	0.48676	a	0.56615	12.240	15.570	0	0	0	0	0	0	0	0	0	0
140	SS	24.2	19.45876	0.49405	a	0.44219	12.040	11.370	0	0	0	0	0	1	0	0	0	0
141	SS	17.3	17.36574	0.50354	c	0.20555	12.340	8.810	0	0	1	0	0	0	1	1	0	0
142	SS	18.7	17.85099	0.50336	c	0.24678	12.340	8.600	0	0	1	0	0	0	1	1	0	0
143	SS	18.1	17.64763	0.50361	b	0.22868	12.340	4.600	0	0	0	0	0	0	0	1	0	0
144	SS	12.2	15.18775	0.48146	b	0.08548	9.800	1.260	0	0	0	0	0	0	1	0	0	0
145	SS	28.6	20.50047	0.48276	c	0.63579	11.340	2.060	0	0	0	0	0	0	0	0	0	0
146	SS	23.3	19.22243	0.49612	c	0.40662	10.000	8.660	0	0	0	0	0	0	1	0	0	0
147	SS	20.5	18.42407	0.50142	c	0.30492	9.600	8.700	0	0	0	0	0	0	1	0	0	0
148	SS	12.1	15.13643	0.48035	c	0.08361	10.000	17.660	0	0	0	0	0	1	1	1	0	1
149	SS	18.9	17.91733	0.50322	c	0.25296	9.700	17.660	0	0	0	0	0	1	0	1	1	1
150	SS	26.5	20.02492	0.48833	b	0.53934	10.400	20.850	0	0	0	0	0	0	0	0	0	0
151	SS	7.6	12.23643	0.34460	a	0.01913	10.000	22.930	0	0	0	0	0	0	0	0	0	0
152	SS	13.1	15.63160	0.48972	b	0.10318	9.700	25.400	0	0	0	0	0	1	0	1	0	1
153	SS	22.3	18.94888	0.49824	b	0.36874	10.000	26.870	0	0	0	0	0	0	0	0	0	0
154	SS	16.4	17.03259	0.50279	b	0.18090	9.800	31.390	0	0	0	0	0	0	0	1	0	0
155	SS	26.8	20.09512	0.48755	b	0.55267	10.000	33.880	0	1	0	0	1	1	0	0	0	0
156	SS	19.2	18.01553	0.50298	a	0.26235	10.000	37.050	0	0	0	0	0	0	0	0	0	0
157	SS	8.5	12.93432	0.39349	b	0.02888	6.990	37.300	0	0	0	0	0	0	0	0	0	1
158	SS	23.2	19.19560	0.49634	a	0.40276	6.990	36.960	0	0	0	0	0	0	0	0	0	0
159	SS	21.1	18.60396	0.50047	a	0.32556	7.290	34.270	1	0	1	1	0	0	1	1	0	1
160	SS	11.3	14.70988	0.46979	a	0.06930	6.990	31.890	0	0	0	0	0	0	1	0	0	0
161	SS	22.8	19.08715	0.49720	a	0.38747	6.990	29.700	0	0	0	0	0	0	0	0	0	1
162	SS	21.4	18.69199	0.49995	b	0.33612	6.690	24.450	0	1	0	0	1	0	0	0	0	0
163	SS	20.6	18.45441	0.50127	b	0.30831	7.390	22.730	0	0	0	0	0	1	1	1	0	0
164	SS	7.9	12.47784	0.36299	c	0.02220	7.590	22.900	0	0	0	0	0	1	1	1	0	0
165	SS	14	16.04593	0.49547	a	0.12239	7.190	20.190	0	0	0	0	0	0	0	1	0	0
166	SS	10.8	14.42767	0.46139	c	0.06098	6.590	17.500	0	1	1	0	1	0	1	1	0	0
167	SS	23.2	19.19560	0.49634	c	0.40276	6.690	17.700	0	1	1	1	1	0	1	1	0	0
168	SS	23.6	19.30220	0.49544	a	0.41833	7.490	15.240	1	0	1	1	0	0	1	1	0	0
169	SS	20.3	18.36293	0.50170	a	0.29817	6.590	13.170	0	0	0	0	0	0	0	0	0	0
170	SS	9.8	13.82178	0.43900	a	0.04577	7.190	11.920	0	0	0	0	0	0	0	0	0	0
171	SS	19.5	18.11221	0.50269	a	0.27191	5.050	0.780	0	1	0	0	1	0	0	0	0	0
172	SS	25.3	19.73595	0.49138	b	0.48754	4.550	3.810	1	1	1	1	1	1	1	0	1	0
173	SS	34.6	21.68806	0.46642	b	0.95113	4.450	6.190	0	0	0	0	0	0	0	0	0	0
174	SS	23	19.14161	0.49677	b	0.39508	4.550	9.550	0	0	1	0	0	0	1	0	0	0
175	SS	35.3	21.81296	0.46453	c	0.99167	5.050	15.420	0	0	0	0	0	0	0	0	1	1
176	SS	20.9	18.54457	0.50080	b	0.31861	2.000	0.970	0	0	0	1	0	0	0	0	0	1
