Treenumber	X	Y	Species	dbh 	quality	h 	factor	V	AH2	DN2	KB2	NJA2	SE2	ST2	VS2
213	10.644	18.475	SS	14.2	a	14.05167128	0.523399592	0.116473716	0	0	0	1	0	0	0
214	10.597	19.923	SS	15.5	a	14.45119727	0.519604459	0.141686991	0	0	0	0	0	0	0
215	10.983	22.241	SS	17.9	a	15.10778757	0.512656443	0.194905113	0	1	0	0	0	0	0
216	10.740	23.780	SS	14.3	a	14.08367772	0.523105379	0.118322468	0	0	0	1	0	0	0
217	10.614	25.798	SS	13.6	a	13.85476732	0.525176593	0.105699345	0	0	0	0	0	0	0
218	10.796	28.006	SS	17.7	a	15.05654096	0.513236754	0.190142576	0	1	0	0	0	0	0
219	10.862	29.805	SS	8.0	c	11.43462493	0.544999568	0.031324773	0	0	0	0	0	0	0
220	10.865	29.885	SS	8.8	c	11.86932513	0.541424509	0.039085814	0	0	0	0	0	0	0
221	10.921	31.393	SS	16.4	b	14.70862044	0.516998883	0.16063461	0	0	0	0	1	0	0
222	10.976	32.892	SS	14.2	b	14.05167128	0.523399592	0.116473716	0	0	0	0	0	0	0
223	9.685	33.282	SS	13.5	b	13.82110739	0.52547502	0.103956664	0	0	0	0	0	0	0
224	9.489	31.304	SS	15.4	a	14.42167677	0.51989465	0.13965691	0	1	0	0	0	0	0
225	9.214	29.755	SS	11.3	b	13.00978275	0.532309679	0.069451427	0	0	0	0	0	0	0
226	8.949	28.436	SS	16.9	a	14.8455947	0.515553091	0.171685764	1	0	0	0	0	1	1
227	9.349	26.378	SS	12.5	a	13.47009577	0.528506791	0.087363729	0	0	0	0	0	0	0
228	9.245	24.240	SS	19.6	b	15.5215928	0.507688672	0.237758353	0	1	0	0	0	0	0
229	9.146	22.191	SS	14.3	a	14.08367772	0.523105379	0.118322468	0	0	0	0	0	0	0
230	8.563	20.493	SS	17.8	b	15.08223624	0.512946677	0.192516451	0	0	0	0	0	1	0
231	8.743	18.025	SS	13.0	a	13.64897752	0.526979047	0.095470688	0	0	0	0	0	0	0
232	8.573	16.596	SS	20.3	b	15.6816408	0.505618517	0.256623503	0	0	0	0	1	0	0
233	8.474	14.558	SS	16.7	a	14.79129763	0.516131448	0.167220463	0	0	0	0	0	0	0
